procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 30131920 221056 30873984    0    0     0    44 3855 4540  6  0 94  0  0
 1  0      0 30131920 221056 30873992    0    0     0     0 3886 4576  6  0 94  0  0
 1  0      0 30127824 221056 30873992    0    0     0     0 3866 4543  6  0 94  0  0
 1  0      0 30127824 221064 30873992    0    0     0    24 3923 4637  6  0 94  0  0
 1  0      0 30127824 221072 30874000    0    0     0   112 3843 4615  6  0 94  0  0
 1  0      0 30127824 221072 30874008    0    0     0     0 3884 4589  6  0 94  0  0
 1  0      0 30127824 221072 30874020    0    0     0     0 3807 4521  6  0 94  0  0
 1  0      0 30127572 221072 30874024    0    0     0     0 3826 4519  6  0 94  0  0
 1  0      0 30123476 221072 30874028    0    0     0     0 3765 4502  6  0 93  0  0
 1  0      0 30123476 221088 30874028    0    0     0    28 3791 5376  7  0 93  0  0
 2  0      0 30123476 221088 30874068    0    0     0    72 3802 4532  6  0 94  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 30123476 221088 30874072    0    0     0     0 3809 4482  6  0 94  0  0
 1  0      0 30119380 221088 30874076    0    0     0     0 3869 4684  6  0 94  0  0
 1  0      0 30119380 221088 30874100    0    0     0     0 3705 4537  6  0 94  0  0
 1  0      0 30119380 221096 30874100    0    0     0    36 3694 4724  6  0 94  0  0
 1  0      0 30119380 221096 30874108    0    0     0     0 3852 4793  6  0 94  0  0
 1  0      0 30119380 221096 30874120    0    0     0    44 3930 5613  6  0 94  0  0
 1  0      0 30119380 221096 30874128    0    0     0     0 3836 4950  7  0 94  0  0
 1  0      0 30119380 221104 30874132    0    0     0    12 3731 4391  6  0 94  0  0
 1  0      0 30119380 221112 30874132    0    0     0    48 3911 5360  7  0 93  0  0
 1  0      0 30114780 221112 30874176    0    0     0     0 3962 4767  6  0 94  0  0
 1  0      0 30114276 221112 30874184    0    0     0     0 3695 4581  6  0 94  0  0
 1  0      0 30110180 221116 30874184    0    0     0    80 3711 4587  6  0 94  0  0
 1  0      0 30110180 221116 30874196    0    0     0     0 3678 4529  6  0 94  0  0
